type,category,heading,flavour_text
MeSH_gendoo,C@gendoo,Diseases - Gendoo,
MeSH_gendoo,D@gendoo,Chemicals - Gendoo,
MeSH_gendoo,G@gendoo,Processes - Gendoo,
