type,category,heading,flavour_text
MeSH_g2p,C@gene2pubmed,Diseases - Gene2Pubmed,
MeSH_g2p,D@gene2pubmed,Chemicals - Gene2Pubmed,
MeSH_g2p,G@gene2pubmed,Processes - Gene2Pubmed,
